SIC,Industry,Sector,Division
111,Wheat,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
112,Rice,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
115,Corn,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
116,Soybeans,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
119,"Cash Grains, Not Elsewhere Classified",Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
131,Cotton,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
132,Tobacco,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
133,Sugarcane and Sugar Beets,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
134,Irish Potatoes,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
139,"Field Crops, Except Cash Grains, Not Elsewhere Classified",Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
161,Vegetables and Melons,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
171,Berry Crops,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
172,Grapes,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
173,Tree Nuts,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
174,Citrus Fruits,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
175,Deciduous Tree Fruits,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
179,"Fruits and Tree Nuts, Not Elsewhere Classified",Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
181,Ornamental Floriculture and Nursery Products,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
182,Food Crops Grown Under Cover,Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
191,"General Farms, Primarily Crop",Agricultural Production Crops,"Agriculture, Forestry, And Fishing"
211,Beef Cattle Feedlots,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
212,"Beef Cattle, Except Feedlots",Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
213,Hogs,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
214,Sheep and Goats,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
219,"General Livestock, Except Dairy and Poultry",Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
241,Dairy Farms,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
251,"Broiler, Fryer, and Roaster Chickens",Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
252,Chicken Eggs,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
253,Turkeys and Turkey Eggs,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
254,Poultry Hatcheries,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
259,"Poultry and Eggs, Not Elsewhere Classified",Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
271,Fur-Bearing Animals and Rabbits,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
272,Horses and Other Equines,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
273,Animal Aquaculture,Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
279,"Animal Specialties, Not Elsewhere Classified",Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
291,"General Farms, Primarily Livestock and Animal Specialties",Agriculture production livestock and animal specialties,"Agriculture, Forestry, And Fishing"
711,Soil Preparation Services,Agricultural Services,"Agriculture, Forestry, And Fishing"
721,"Crop Planting, Cultivating, and Protecting",Agricultural Services,"Agriculture, Forestry, And Fishing"
722,"Crop Harvesting, Primarily by Machine",Agricultural Services,"Agriculture, Forestry, And Fishing"
723,"Crop Preparation Services for Market, Except Cotton Ginning",Agricultural Services,"Agriculture, Forestry, And Fishing"
724,Cotton Ginning,Agricultural Services,"Agriculture, Forestry, And Fishing"
741,Veterinary Services for Livestock,Agricultural Services,"Agriculture, Forestry, And Fishing"
742,Veterinary Services for Animal Specialties,Agricultural Services,"Agriculture, Forestry, And Fishing"
751,"Livestock Services, Except Veterinary",Agricultural Services,"Agriculture, Forestry, And Fishing"
752,"Animal Specialty Services, Except Veterinary",Agricultural Services,"Agriculture, Forestry, And Fishing"
761,Farm Labor Contractors and Crew Leaders,Agricultural Services,"Agriculture, Forestry, And Fishing"
762,Farm Management Services,Agricultural Services,"Agriculture, Forestry, And Fishing"
781,Landscape Counseling and Planning,Agricultural Services,"Agriculture, Forestry, And Fishing"
782,Lawn and Garden Services,Agricultural Services,"Agriculture, Forestry, And Fishing"
783,Ornamental Shrub and Tree Services,Agricultural Services,"Agriculture, Forestry, And Fishing"
811,Timber Tracts,Forestry,"Agriculture, Forestry, And Fishing"
831,Forest Nurseries and Gathering of Forest Products,Forestry,"Agriculture, Forestry, And Fishing"
851,Forestry Services,Forestry,"Agriculture, Forestry, And Fishing"
912,Finfish,Fishing hunting and trapping,"Agriculture, Forestry, And Fishing"
913,Shellfish,Fishing hunting and trapping,"Agriculture, Forestry, And Fishing"
919,Miscellaneous Marine Products,Fishing hunting and trapping,"Agriculture, Forestry, And Fishing"
921,Fish Hatcheries and Preserves,Fishing hunting and trapping,"Agriculture, Forestry, And Fishing"
971,"Hunting and Trapping, and Game Propagation",Fishing hunting and trapping,"Agriculture, Forestry, And Fishing"
1011,Iron Ores,Metal Mining,Mining
1021,Copper Ores,Metal Mining,Mining
1031,Lead and Zinc Ores,Metal Mining,Mining
1040,Gold and Silver Ores, Metal Mining, Mining
1041,Gold Ores,Metal Mining,Mining
1044,Silver Ores,Metal Mining,Mining
1061,"Ferroalloy Ores, Except Vanadium",Metal Mining,Mining
1081,Metal Mining Services,Metal Mining,Mining
1094,Uranium-Radium-Vanadium Ores,Metal Mining,Mining
1099,"Miscellaneous Metal Ores, Not Elsewhere Classified",Metal Mining,Mining
1221,Bituminous Coal and Lignite Surface Mining,Coal Mining,Mining
1222,Bituminous Coal Underground Mining,Coal Mining,Mining
1231,Anthracite Mining,Coal Mining,Mining
1241,Coal Mining Services,Coal Mining,Mining
1311,Crude Petroleum and Natural Gas,Oil And Gas Extraction,Mining
1321,Natural Gas Liquids,Oil And Gas Extraction,Mining
1381,Drilling Oil and Gas Wells,Oil And Gas Extraction,Mining
1382,Oil and Gas Field Exploration Services,Oil And Gas Extraction,Mining
1389,"Oil and Gas Field Services, Not Elsewhere Classified",Oil And Gas Extraction,Mining
1411,Dimension Stone,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1422,Crushed and Broken Limestone,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1423,Crushed and Broken Granite,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1429,"Crushed and Broken Stone, Not Elsewhere Classified","Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1442,Construction Sand and Gravel,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1446,Industrial Sand,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1455,Kaolin and Ball Clay,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1459,"Clay, Ceramic, and Refractory Minerals, Not Elsewhere Classified","Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1474,"Potash, Soda, and Borate Minerals","Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1475,Phosphate Rock,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1479,"Chemical and Fertilizer Mineral Mining, Not Elsewhere Classified","Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1481,"Nonmetallic Minerals Services, Except Fuels","Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1499,"Miscellaneous Nonmetallic Minerals, Except Fuels","Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",Mining
1521,General Contractors-Single-Family Houses,Building Construction General Contractors And Operative Builders,Construction
1522,"General Contractors-Residential Buildings, Other Than Single-Family",Building Construction General Contractors And Operative Builders,Construction
